symbol,sector,crude_sign,fx_sign,channel
AARTIIND,Specialty chemicals,AMB,AMB,"Benzene/toluene/naphtha derivatives are the feedstock (crude-negative) but most contracts are cost-plus with fast pass-through and a large export book (FX-positive), so neither sign is defensible ex ante. DELIBERATELY UNSCORED - the alternative is an unfalsifiable map in which every chemical name confirms the theory."
ACC,Cement,NEG,NA,Pet coke is a refinery product and diesel freight is a large cost line; power+fuel+freight is ~50% of cost. Moderate.
ADANIGREEN,Adani group,AMB,AMB,"USD debt argues FX-negative, but the Jan-2023 Hindenburg episode dominates this group's return variance in the window and is unrelated to macro betas. Reported, not scored."
ADANIPORTS,Adani group,AMB,AMB,"USD debt argues FX-negative, but the Jan-2023 Hindenburg episode dominates this group's return variance in the window and is unrelated to macro betas. Reported, not scored."
ADANITRANS,Adani group,AMB,AMB,"USD debt argues FX-negative, but the Jan-2023 Hindenburg episode dominates this group's return variance in the window and is unrelated to macro betas. Reported, not scored."
AKZOINDIA,Paints,NEG,NEG,"~50%+ of the RM basket is crude-derived (monomers, solvents, resins) plus imported TiO2 priced in USD; domestic pricing with lagged pass-through."
ALKEM,Pharma exporters,NA,POS,"Large US/EU generic and CRAMS revenue in USD. WEAKER than IT: KSM/API inputs are imported from China in USD and several carry USD acquisition debt, both offsetting."
AMBER,Consumer durables / EMS,NA,NEG,"Components, compressors and finished-goods sourcing from China/ASEAN invoiced in USD; sales entirely domestic in INR."
AMBUJACEM,Cement,NEG,NA,Pet coke is a refinery product and diesel freight is a large cost line; power+fuel+freight is ~50% of cost. Moderate.
APOLLOTYRE,Tyres (domestic-skewed),NEG,NEG,Carbon black and synthetic rubber are crude derivatives; natural rubber and CB feedstock are imported in USD. Domestic replacement/OEM pricing.
ARVIND,Textile exporters,NA,POS,Home-textile and yarn/garment export revenue in USD against INR cotton and INR labour.
ASIANPAINT,Paints,NEG,NEG,"~50%+ of the RM basket is crude-derived (monomers, solvents, resins) plus imported TiO2 priced in USD; domestic pricing with lagged pass-through."
